Marca temporal,¿Has tenido alguna empresa que ha fracasado?,Edad:,¿Con qué género te identificas más?,Nivel educativo: ,¿Cuántos años de experiencia laboral tienes?,¿Cuántas empresas has tenido? ,¿Cuántas de ellas siguen activas?,¿Qué tipo de empresa era?,¿Cuántos empleados tuvo? ,¿Cuántos años estuvo activa?,¿En qué estado(s) de la república tenía sus operaciones? ,¿Contaba con operaciones a nivel nacional o internacional?, ¿La empresa tenía un único dueño o varios socios? ,¿Cuál era el ingreso anual promedio de la empresa? (millones de pesos),¿Cómo calificarías los servicios de electricidad que te fueron proporcionados?,¿Sufriste algún tipo de pérdidas debido a la falta de este servicio? ¿Cuáles?,¿Consideras que el sector informal tuvo impacto en el cierre de tu negocio?, ¿Por qué?,¿Los niveles de inseguridad afectaron al desempeño de tu empresa? ,¿Cómo es que afectó a tu empresa?,¿Intentaste exportar o importar algún producto?, ¿Qué dificultades encontraste?,¿Cómo calificarías los trámites administrativos que la ley te pedía mes con mes?,¿Tuviste que contratar algún tipo de asesoría o apoyo para cumplir con todos los trámites anteriores?,¿Qué costo representó para ti mensualmente cumplir con esos trámites?,¿Cómo calificarías la tasa de impuestos que fueron asignados a tu empresa?,¿Tuviste que recurrir a algún tipo de práctica para pagar menos impuestos?,¿Podrías enlistar algunas de ellas?,¿Cuáles fueron los tres trámites más complicados durante la vida de tu empresa?,¿Te pidieron sobornos o realizar algún acto de corrupción durante tus trámites gubernamentales?,¿Aceptaste?,¿Cómo calificarías el proceso de cierre de tu empresa en términos administrativos?,¿Por qué?,¿Qué trámite consideras el más costoso en tiempo y dinero para el cierre de tu empresa?,¿Concluiste con todos los trámites?,¿Qué trámite o procedimiento no has concluido? ¿Por qué?,Indica los programas de gobierno de apoyo a PYMEs que conozcas,¿Cómo te enteraste de estos programas?,¿Has leído alguna de las convocatorias a dichos programas?,¿Consideras que estas convocatorias son accesibles para cualquier empresario?,¿Por qué?,¿Has hecho uso de alguno de estos programas?,¿Cuál programa utilizaste?,¿Cómo calificarías tu experiencia?,¿Tuviste un monitoreo constante por parte de las entidades gubernamentales?  ,¿Consideras que fue efectivo dicho seguimiento?,¿Consideras que los entregables y evidencias presentadas fueron una buena metodología de evaluación?,"Una vez terminado el programa, ¿se te dio algún tipo de seguimiento en los meses/años posteriores?",¿Qué relevancia tuvo este apoyo del gobierno en la muerte de tu empresa? ,¿Recibiste algún tipo de asesoría para participar en las convocatorias de alguno de los programas de gobierno?,¿En qué consistía este tipo de asesoría? ¿Podrías proporcionarnos un costo aproximado?,¿Consideras claro y transparente el proceso de selección de los distintos programas?,¿Fuiste testigo de prácticas corruptas en en el proceso?,¿Consideras que existe algún tipo de favoritismo en la selección de candidatos?,¿Por qué?,¿Encontraste que la oferta de programas del gobierno respondía a las necesidades de tu empresa?,¿Por qué?,¿Qué tipo de apoyo por parte del gobierno consideras que hizo falta para que tu empresa no fracasara?,¿En algún momento fuiste invitado por parte del gobierno a participar en alguna asociación empresarial o clúster?,En el caso de que hayas participado ¿fue de utilidad para tu empresa?,¿Por qué?
7/28/2016 11:55:03,Sí,28,Masculino,Maestría,4,1,1,Servicios,0,2,Ciudad de México,Nacional,Varios socios,cero a medio millón,3,Si,No,,No,,No,,3,No,,2,No,,"Seguro social, sello digital, factura electronica",No,No,3,Aun sigue abierta y tratando de funcionar,,Sí,,Ninguno ,No aplica ,Sí,No,"No tienen flexibilidad de tiempos, no hay ubicación conocida para tramitarlos ni seguridad de respuesta a través de correo electrónico",No,,,,,,,,,,No,No,No,"Estoy seguro que el sistema funciona pero no beneficia a todos, solo a algunos pocos",No,Requiero más mano de obra que capital ,Una incubadora gubernamental orientada a satisfacer las necesidades tempranas del negocio y seguimiento del gobierno para darnos apoyo y no con el afán de perjudicarnos,No,No aplica,
7/28/2016 15:41:20,Sí,62,Masculino,Maestría,38,5,3,Industrial,70,30,Sinaloa,Nacional,Varios socios,tres millones o más,1,No,No,,No,,No,,5,Sí,,5,Sí,Estrategia Fiscal,Trámites de importación ,Sí,Sí,5,Requerimientos Fiscales,Pago de impuestos,Sí,Ninguno,INADEM ,Publicidad Gubernamental,Sí,No,Muchos requisitos,Sí,Apoyo para maquinaria agricola,4,Sí,Sí,Sí,Sí,5,No,,Sí,Sí,Sí,Solo los amigos del respindable,No,Demasiados requisitos,Ninguno,No,No aplica,
7/28/2016 17:08:43,Sí,33,Masculino,Licenciatura,15,2,0,Comercio,6,2,Sinaloa,Nacional,Único dueño,cero a medio millón,3,Se me descompusieron 2 tv por las variaciones de voltaje,SÍ,Por que hacen competencia desleal,Sí,Fui extorsionado una vez,Sí,Al importar equipos usados en la aduana te ponen trabas,4,Sí,2000,5,Sí,No declarar el 100% ,"El uso de suelo, el permiso para cambio de giro del negocio y el permiso sanitario entre mejor cumples mas te buscan defectos",Sí,Sí,4,Por que las liquidaciones de los empleados son costosas y la empresa no tenia capital suficiente,Liquidaciones,Sí,,"Moderniza, pyme jica",Canirac,No,No,Lrs falta mas difusion,Sí,Moderniza,3,No,No,Sí,Sí,4,Sí,4,No,No,Sí,Siempre estan las mismas empresas recibiendo los apoyos,No,Los programas necesitan adaptarlos a las necesidades de cada empresa,Algun financiamiento a tasa baja ya que el credito bancario es muy caro,No,No aplica,
7/28/2016 23:27:27,Sí,59,Masculino,Licenciatura,36,5,2,Comercio y servicios ,10,9,Sinaloa,Nacional,Único dueño,cero a medio millón,1,No,No,,No,,No,,5,Sí,,5,No,,Contestar una auditoría fiscal,No,No,3,Trámites burocráticos ,,Sí,,Ninguno ,No estoy enterado,No,No,Porque no las conozco,No,,,,,,,,,,No,No,No,Porque los desconozco,No,"
No me enteré ",Insentivos fiscales,No,No aplica,
8/2/2016 18:05:14,Sí,30,Femenino,Licenciatura,7,2,1,Comercio,2,1,Tamaulipas,Nacional,Único dueño,cero a medio millón,4,Tenía refrigeradores con productos y se fue la luz,No,,Sí,Bandalismo en el exterior del negocio,No,,4,No,,1,No,,Alta,No,No,2,No fue una empresa como persona moral,Baja de empleados,Sí,,PIL,Taller de emprendedores,Sí,No,son muy complejos,No,,,,,,,,,,No,Sí,Sí,En una página de internet se están vendiendo los certificados del PIL,No,EN ese momento no estbaan creadas,"Apoyo en difusión y mercadotecnia, así como conexión con demás empresas",No,No aplica,
8/2/2016 19:00:00,Sí,29,Masculino,Licenciatura,15,10,3,Servicios,5,2,Tabasco,Nacional,Único dueño,cero a medio millón,3,No,SÍ,Por los pagos de impuestos y prestaciones,Sí,Falta de confianza,No,,3,Sí,"10,000",3,No,,Permisos en general,No,No,2,Solo es una decision,Pago de impuestos y luz,Sí,,Ninguno,No me he enterado,No,No,Porque no me entero,No,,,,,,,,,,No,No,Sí,Es mexico,No,No me intereso buscar,No espero nada del gobierno siento que nunca me han dado solucion,No,No aplica,
8/2/2016 22:20:25,Sí,44,Masculino,Secundaria,32,2,0,Servicios,3,1.5,Jalisco,Nacional,Único dueño,cero a medio millón,1,No,No,Porque era un negocio TIC,No,,No,,5,Sí,No logré pagar los servicios requeridos,1,No,,Registro de marca,No,No,1,Porque no requirió trámites administrativos,Legal,No,,IJALDEM e INADEM,Internet,Sí,No,Requieren de muchos requisitos,No,,,,,,,,,,No,No,Sí,Porque es México y todo se maneja así,Sí,Había programas específicos del giro,Capital y apoyo real para aprender y crecer,Sí,Sí,
8/3/2016 20:41:40,Sí,21,Masculino,Licenciatura,2,1,0,Servicios,5,1,Tlaxcala,Nacional,Único dueño,cero a medio millón,1,no,SÍ,falta de uso de este servicio ,Sí,la gente no quiere invertir en su preparación ,No,la gente no quiso invertir en su preparación ,4,Sí,500,4,No,,registro fiscal,No,No,3,falta de conocimiento,contador,Sí,,INADEM ,Amigos,Sí,No,falta de asesorias o información ,No,,,,,,,,,,No,No,Sí,por contactos,No,falta de nformación ,asesorias,No,No aplica,
8/4/2016 18:33:41,Sí,28,Femenino,Maestría,8,2,1,Servicios,11,2,San Luis Potosí,Nacional,Varios socios,cero a medio millón,2,ninguno,No,,No,,No,,3,Sí,1000,3,No,,vender sus productos,No,No,3,por que es muy lento todo el tramite,la separacion de los socios,No,la firma de cambio de propietarios,INADEM,Internet,Sí,Sí,POR QUE SÓLO HAY QUE APLICAR A LA LÍNEA QUE QUEDE MEJOR PARA LA EMPRESA,Sí,INADEM,4,No,Sí,Sí,No,1,Sí,EN LAS PROYECCIONES DEL DESARROLLO DE LOS PRODUCTOS,Sí,No,No,DESCONOSCO,Sí,AFORTUNADAMENTE LA EMPRESA SI ENTRABA DENTRO DE UNA CONVOCATORIA,SE NOS CERRARON LAS PUERTAS POR EL CAMBIO DE PUESTOS. ,No,No aplica,
8/4/2016 21:59:11,Sí,36,Masculino,Maestría,16,2,1,Tecnología/innovación,6,3,Michoacán,Nacional,Varios socios,medio a un millón,2,No,No,,No,,No,,3,No,Principalmente tiempo,3,Sí,Conseguir facturas,"Registro de la empresa, alta de empleados, comprobación",No,No,3,Fue relativamente sencillo,El tiempo invertido y el contador,Sí,,"Cemprende, INADEM ","Internet, incubadora de empresas",Sí,No,Son complejas y regularmente requieres de alguien que te ayude,Apliqué pero no fui seleccionado,,,,,,,,,,No,Sí,Sí,Porque existen empresas que si atacan ciertas industrias parece más factible de recibir el apoyo.,No,No hay mucho apoyo a la innovación,facilitadores que te expliquen y ayuden a llevar el proceso.,No,No aplica,
8/8/2016 13:17:13,Sí,42,Masculino,Doctorado,19,5,3,Servicios,10,1,Tabasco,Nacional,Varios socios,tres millones o más,3,No,No,,No,,No,,5,Sí,5000,5,Sí,Contratos con proveedores,"IMSS, SAT y bancos",No,No,5,Exceso de tramites,Pagos de finiquitos,Sí,,Fideicomisos PYMES,Internet,Sí,No,Necesitas garantías de bienes 2 a 1,Sí,Fondo Pyme,5,Sí,Sí,No,No,5,Sí,Desarrollo del Plan de Negocios 100 mil,No,No,Sí,Amistades de los titulares ,Sí,Sus objetivos son apoyar micro empresas ,Entrega del recurso en tiempo ,Sí,Sí,Facilitaban acercamientos con ventanillas de gobierno
8/8/2016 13:17:47,Sí,40,Masculino,Maestría,25,3,1,Servicios,5,1,"Tabasco, Veracruz",Nacional,Único dueño,cero a medio millón,2,Se quemo un ruteador,No,,No,,No,Relación con los clientes,4,Sí,,4,No,,"Alta Hacienda, registro proveedor, pago imouestos",No,No,2,Cambio de actividad,Impuestos,Sí,,Fondos ,Internet,Sí,No,Falta de difusión y claridad,Sí,No,4,No,No,No,No,4,No,,No,No,Sí,Las personas lo comentan,No,Burocracia y corrupcion,Asesoría y políticas de transparencia,No,No aplica,
8/8/2016 13:17:57,Sí,47,Masculino,Licenciatura,32,14,5,Servicios,21,5,Tabasco,Nacional,Varios socios,tres millones o más,4,Equipós de Computo Quemados,No,,No,,Sí,Las Aduanas,5,Sí,,5,Sí,Compra de Facturas.,"IMSS, Importacion Aduanal, Despedir a empleados incompetentes.",Sí,Sí,5,Es un proceso largo y complejo,contabilidad,No,Dar de Bajas en SHCP,"INADEM , Prosoft",Internet,Sí,No,Tramites muy complejos y poco claros ademas poco tiempo.,No,,,,,,,,,,No,No,Sí,Por experiencias,No,Los tiempos de ellos son muy diferentes.,Credito de crecimiento de la empresa,Sí,No,Por que las estrategias Politicas eran mas importantes para ellos que las economicas.
8/8/2016 14:25:29,Sí,38,Masculino,Maestría,10,2,1,Industrial,3,1,Puebla,Nacional,Único dueño,cero a medio millón,3,No,No,,No,,No,,5,Sí,,3,No,,"Licencia de operación , licencia de protección civil y uso de suelo",Sí,No,5,El trámite de liquidación ,El fiscal ,No,Fiscal ,Ninguno ,Ninguno ,No,No,No conozco aún sola persona que lo haya obtenido y si a más de 100 que lo han intentado ,No,,,,,,,,,,No,No,Sí,Por qué no conozco a nadie que lo hayan apoyado ,No,No de mi rubro ,Trámites sencillos sin costos extras al pagarle a un expecialista ,No,No aplica,
8/8/2016 16:42:35,Sí,37,Femenino,Licenciatura,15,2,1,Servicios,6,4,Sinaloa,Nacional,Varios socios,cero a medio millón,2,no ,No,,Sí,La audiencia al lugar disminuyó por miedo a la inseguridad,No,,3,Sí,1000.00,4,No,,"registro ante Hacienda, notificaciones del imss cuando no procedían, solicitud de préstamos financieros.",No,No,2,se pudo realizar a tiempo y sin tanta burocracía,no hubo alguno con esas características,Sí,,Sinaloa Emprende,Amigos,Sí,Sí,Son sencillas de entender,Sí,Red Fosin,1,Sí,Sí,Sí,No,3,No,,No,No,Sí,Algunos comentarios de personas allegadas a ciertos programas,No,Eran montos muy pequeños ,Acceso a préstamos de mayor capital,No,No aplica,
8/9/2016 11:48:43,Sí,25,Femenino,Licenciatura,10,1,0,Servicios,4,1,Tabasco,Nacional,Único dueño,cero a medio millón,4,Servicio,SÍ,Contratiempos ,Sí,Perdida de mobiliario ,No,,1,No,500,1,No,,Alta en Hacienda permiso municipal y estatal ,No,No,1,Un solo trámite ,Ninguno ,Sí,Ninguno ,Fondos ,Investigando ,Sí,Sí,Existe variedad ,No,,,,,,,,,,Sí,No,No,No soy testigo de un favoritismo,Sí,Capital,Capital ,No,No aplica,
8/9/2016 13:42:29,Sí,26,Masculino,Licenciatura,3,2,1,Comercio,2,2,Yucatán,Nacional,Varios socios,cero a medio millón,3,Perdida de ingresos,No,,No,,No,,3,Sí,,4,Sí,Facturas,"Uso de suelo, contratos de empleados, renta de local",No,No,5,Contratos forzosos y excesivos precios,liquidacion del contrato,Sí,,Apoyo a jóvenes constructores,Internet,Sí,No,Corrupción y favoritismo,Apliqué pero no fui seleccionado,,,,,,,,,,No,Sí,Sí,Conveniencia y apoyo a familiares o ''compadres'',No,Corrupcion,Un mejor y mas claro apoyo para emprendedores jovenes,No,No aplica,
8/9/2016 19:18:08,Sí,29,Masculino,Licenciatura,4,2,0,Comercio,5,1,Morelos,Nacional,Varios socios,cero a medio millón,3,Se descomponian los alimentos y el costo de la electricidad era muy alto.,SÍ,Por que algunos eran clientes.,Sí,Pedían derecho de piso y asaltaban,No,Un proceso muy largo,3,No,,3,Sí,No declarar ni pagar permisos.,"Ninguna, el problema es pagar los permisos para bebidas.",No,No,1,No estaba dado de alta casi en nada,Pagarle al personal.,No,"No hice ningún tramite ni al principio ni al final, era informal","Ninguno, se que hay un instituto de emprendedores",Amigos,No,No,Me han dicho que no les dan un fondo perdido a todos.,No,,,,,,,,,,No,Sí,Sí,"Yo he visto como les ofrecen ""una ayudadita"" a quienes ingresan el papeleo.",Sí,Por que he visto que hay varios a fondo perdido.,Permisos baratos para que pueda empezar un negocio con poco dinero.,No,No aplica,
8/11/2016 11:09:28,Sí,26,Masculino,Licenciatura,5,2,1,Servicios,5,1,"Puebla, Tlaxcala",Nacional,Varios socios,cero a medio millón,5,No,SÍ,La competencia era informal ,No,,No,,5,No,,3,Sí,Facturar menos,"Alta, impuestos, solicitud de apoyo ",No,No,1,Simple ,Ninguno ,Sí,,"INADEM , inaes, crédito joven ",Internet ,Sí,Sí,Están abiertas ,Apliqué pero no fui seleccionado,,,,,,,,,,No,No,No,No hay manera de saber,No,No totalmente dirigida a mis necesidades ,Asesoría ,No,No,
8/11/2016 11:27:52,Sí,22,Femenino,Licenciatura,5,2,0,Comercio,4,1,Tlaxcala,Nacional,Varios socios,cero a medio millón,1,,No,,No,,No,,5,No,,1,No,,"Registro de proyecto, estimación financiera y cartas aval",No,No,2,Fue la inciativa de un proyecto que no funcionó por falta de financiamiento.,La elaboración completa del proyecto.,Sí,,"Los propuestos por IMJUVE, SE, INAES",Internet ,Sí,No,Requieren cierto nivel de conocimiento financiero que no cualquier empresario tiene.,Apliqué pero no fui seleccionado,,,,,,,,,,No,No,Sí,Existen diversos criterios como la preferencia a ciertas inciativas de proyectos o personas que acceden a tener consultores propuestos por la Institución independientemente de que esté la libertad de elegir uno ajeno a la Institución.,Sí,Proponía un financiamiento considerable para hacer crecer la empresa así como reafirmaba la responsabilidad social de la empresa.,Apoyo con financiamiento para adquisición de más herramientas de trabajo.,No,No aplica,
8/11/2016 22:24:48,Sí,40,Femenino,Licenciatura,17,2,1,Servicios,1,6 meses,Veracruz,Nacional,Único dueño,cero a medio millón,3,No,SÍ,Competencia desleal y bajos precios,Sí,Robo,No,,3,No,,5,Sí,No reportar todos los ingresos,Seguro social y Finanzas,No,No,3,Era pequeña,Venta de activo,Sí,,Apoyos con equipos informáticos,"Canaco Servytur, Ivec",Sí,No,Nivel de dificultad,Sí,Fortalecimiento a las capacidades empresariales,5,Sí,No,Sí,No,5,No,,No,No,Sí,He escuchado,Sí,Por apoyo económico,Meti proyecto a Inadem no me lo dieron,No,No aplica,
8/15/2016 14:18:17,Sí,44,Masculino,Licenciatura,20,3,2,Servicios,10,2,Veracruz,Nacional,Varios socios,medio a un millón,3,datos e información sobre proyectos,SÍ,"por pseudo consultores y pseudo despachos de consultoría, área muy informal que cobran muy barato y dan un pésimo servicio a clientes y queman el mercado.",No,,No,,4,Sí,10000,4,No,,"Constitución y protocolización ante notario público, alta ante el sat y permisos ante el municipio, en infonavit y el imss",Sí,No,4,"por finiquitar compromisos con los socios de la empresa, proveedores y acreedores",constitución y protocolización ante notario público,Sí,,"INADEM, SAGARPA, INAES, FIRA, FND, FIRCO, FIFOMI, IFC, ",Internet ,Sí,Sí,"POR LAS REGLAS DE OPERACIÓN, CONVOCATORIAS ETC",Sí,"INADEM, INAES, FIRA, FND",3,Sí,Sí,No,Sí,4,No,,Sí,Sí,Sí,ALGUNOS MIEMBROS DE LOS COMITES DE EVALUACIÓN TIENEN A SUS CONOCIDOS QUE PRESENTAN PROYECTOS Y LLEVAN PREFERENCIA,Sí,VIENEN SEGMENTADOS ALGUNOS APOYOS,"AGILIDAD EN LA ENTREGA DE RECURSOS, DEMORA MUCHISIMO EL TRAMITE",No,No aplica,
8/16/2016 21:09:53,Sí,37,Masculino,Maestría,17,2,1,Mantenimiento ,5,1,Sinaloa,Nacional,Varios socios,un millón a tres millones,2,No,No,,No,,No,,4,Sí,35% del ingreso,4,No,,"registró en portal CFE,   ",No,No,1,Yo no era el representate legal,Presentar la información para darse de baja,Sí,,INADEM ,Amigos,Sí,No,"Complicadase, poco claras y las delegaciones de SE no están capacitados para realmente apoyar ",Apliqué pero no fui seleccionado,,,,,,,,,,No,No,Sí,"Por que los mandos de gobiernos estatales municipales y federales de manera directa ""palomean"" los proyectos ",No,Difícilmente se adecuan a las empresas de servicios,Una convocatoria alineada al sector servicios,No,No aplica,
8/16/2016 21:41:09,Sí,33,Masculino,Licenciatura,13,12,4,Servicios,55,Desde 1 año hasta 8,Sinaloa,Nacional,Varios socios,tres millones o más,3,"Retraso en tiempos de apertura por exceso de tramites, cobros sin una explicación comprensible",No,,Sí,"Fuimos asaltados, amenazados, mataron a una persona dentro de nuestro negocio",Sí,Ninguna,5,Sí,20.000,5,Sí,"Outsourcing, estrategias fiscales, lidiar con funcionarios que extorsionaban","Licencia de alcohol, Permiso para eventos masivos, contratación Cfe ",Sí,Sí,5,Tienes que esperar a que pase mucho tiempo,Dar de baja la empresa (tiempo),No,Sigo en proceso de dar baja a una SA,"INADEM , fosin",Amigos,Sí,No,Tienes que conocer a alguien que te ayude a agilizar el tramite,Sí,Creditos en fosin  y apoyos en equipamiento inadem ,3,No,No,No,No,4,Sí,Guiarme con los requisitos que necesitaba,No,No,Sí,Beneficio a ciertas personas,No,"No son las necesidades principales, aún así es muy util","Apoyos para reactivar zonas comerciales, incentivos a la actividad económica, disminución de obligaciones para contratar personal",Sí,No aplica,
8/16/2016 22:30:25,Sí,53,Masculino,Licenciatura,33,3,1,Comercio,2,3,Sinaloa,Nacional,Varios socios,cero a medio millón,4,,No,,Sí,"Asaltos, gastos de seguridad",No,,5,Sí,,5,Sí,Outsourcing ,"Registro de marca, auditorias",Sí,Sí,2,,Liquidación de empleados,Sí,,Creditos,Visita ,No,No,Complicado,Sí,Credito,1,No,No,No,No,5,No,,No,Sí,Sí,Comentan ,No,Registro de matca,Apoyo a personal,No,No aplica,
8/17/2016 14:25:17,Sí,41,Masculino,Maestría,20,7,4,Servicios,10,2,"Ciudad de México, Nuevo León, Sinaloa",Nacional,Varios socios,un millón a tres millones,3,"Equipo computacional dañado, horas ociosas debido a cortes regulares, altos costos de consumo.",SÍ,"Afectan en los precios, afectan en la comparacion del negocio con servicios no profesionales, por ende el sector al que pertenezco se ve afectado con mala imagen.",Sí,Hay lugares del estado y de la republica a la que no vamos a prestar servicios.,Sí,"Existe poco recurso humano que HABLE ingles.
Los organismos que existen para apoyar a la exportación normalmente es para productos y no para servicios.
La diferencias fiscales entre paises inhiben la exportacion.",5,Sí,5000,5,Sí,"Reducir tu utilidad mes con mes, haciendolo a traves de gastos operativos del negocio. ","Creacion del acta constitutiva.
Alta en hacienda.
Alta bancaria.",Sí,No,5,"Hay que seguir un protocolo demasiado largo en terminos financieros, fiscales y legales. A veces es mejor dejarla en cero y no cerrarla o traspasarla.",Asesoria Legal.,Sí,,"Programas de INADEM
Programas Prosoft
Programas Conacyt",Trabajando con empresarios del mismo sector de boca en boca.,Sí,No,"Sus estructuras son complejas, requieren cierto historial de la empresa y en algunos casos se requieren certificaciones costosas o poder vincularte con algun centro de investigacion para poder acceder a dichos fondos.",Sí,"INADEM, Prosoft.",3,Sí,No,Sí,Sí,4,Sí,"CANIETI cobra el 5% del monto a bajar fondos Prosoft. La asesoria es en la metodologia para llenar la solicitud y entregables.
En INADEM las empresas que te apoyan con la metodologia y entregables tambien cobran un porcentaje del monto a bajar que ocila entre el 5% y 10%.",No,No,No,"El principal problema es la cantidad de proyectos que aplican ejemplo para INADEM 3.3 aplicaron 8000 proyectos este 2016, por lo que creo que no se tiene la capacidad para poder revisar tal cantidad de proyectos en 15 dias y llegar a una lista de proyectos seleccionados.",No,"Es dificil encontrar proyectos para capital de trabajo, en el caso de los servicios es el capita que mas se necesita.","Apoyo para capital de trabajo.
Finaciamiento de proyectos, cuando la empresa es joven, es dificil encontrar fuentes de financiamiento.
Promover proveeduria dentro de mi estado, es decir que las empresas grandes apoyen con la proveeduria dentro de su estado con las PYMES.",Sí,Sí,El generar relaciones de trabajo es vital y de mucha ayuda en los negocios.
8/17/2016 16:10:10,Sí,37,Masculino,Licenciatura,20,2,0,Servicios,2,1,Nuevo León,Nacional,Único dueño,cero a medio millón,3,Equipo de computo quemado por altibajos de voltaje,No,,Sí,Dejamos de atender clientes en otros estados por la inseguridad.,No,,3,Sí,4000,4,No,,"fiel, alta del imss, calculo de impuestos",No,No,3,Solo suspendí actividades,Baja del imss,No,la cancelación o suspensión del rfc,ninguno,nada,No,No,"Solo escucho los comerciales, pero no entiendo lo que quieren transmitir",No,,,,,,,,,,No,No,No,No se,No,Las convocatorias son confusas,recursos más accesibles,No,No aplica,
8/17/2016 23:39:53,Sí,46,Femenino,Maestría,23,3,1,Comercio,6,2,Sinaloa,Nacional,Único dueño,cero a medio millón,4,Perdida de alimentos ,SÍ,Porqué ellos no pagan impuestos ni prestaciones sociales ,No,,No,,5,Sí,,2,No,,"Imss, sat y ayuntamiento ",Sí,No,5,"Liquidación, pérdida económica y sat ",Liquidación ,Sí,,Ni uno ,Internet ,No,No,Burocracia y amiguismo ,No,,,,,,,,,,No,No,Sí,Casual apoyan a los mismos ,No,Falta de apoyo y compromiso ,Becas laborales y de apoyó en la compra de equipo. ,No,No aplica,
8/18/2016 10:44:00,Sí,25,Masculino,Maestría,2,1,0,Servicios,5,2,Sinaloa,Nacional,Único dueño,cero a medio millón,2,Comida en mal estado por falta de servicio ,SÍ,"Ofrecen precio con los que no podia competir, además el exceso de competencia reduce mucho el precio",Sí,"El sector es tranquilo, sin embargo se presentaron varios secuestros y robos que asustaban a los clientes",Sí,No pude ya que mencionaron en el pais de origen Suiza que ya tenian un proveedor en México que imponía el monopolio y sus precios altisimos,5,Sí,500,5,No,,,No,No,1,Sólo necesité una suspensión de servicios,,Sí,,Creditos y ayuda con equipos,Internet,Sí,No,Son programas con respuesta muy lenta y con un poca probabilidad de que te lo den. solamente si tienes palancas va a ser muy sencilla,Apliqué pero no fui seleccionado,,,,,,,,,,No,Sí,Sí,"Seleccionan a familiar y amigos de las personas encargadas, realmente existian proyectos tan poco factibles y fueron los que recibian el apoyo.",Sí,Tenia prestamos que se adecuaban a lo que necesitaba sin embargo el tiempo de respuesta era cerca de 2 años ,Capacitación y prestamos con mayor rapidez de respuesta ,No,No aplica,
8/18/2016 12:37:48,Sí,49,Femenino,Licenciatura,27,3,1,Servicios,6,2,Sinaloa,Nacional,Varios socios,cero a medio millón,3,Dinero,SÍ,Porque no lo regulan,Sí,Robos,Sí,No me pude inscribir en el padrón de importadores ,4,Sí,3000.00,5,Sí,No reportar ingresos ,Los tributarios y los del municipio ,Sí,Sí,5,No he podido por los trámites fiscales ,El cierre de la contabilidad ,No,"La suspensión fiscal, porque no he podido cerrar fiscalmente ",INADEM,Internet ,Sí,No,Muchos trámites complicados ,No,,,,,,,,,,No,Sí,Sí,Solo se dan a los amigos de los funcionarios de gobierno ,Sí,Hay muy buen dinero ,Que no sean tan complicados ,No,No aplica,
8/18/2016 12:55:12,Sí,47,Masculino,Doctorado,31,3,1,Servicios,12,4,Michoacán,Nacional,Único dueño,medio a un millón,1,No,SÍ,"Competencia imposible de tratar, la informalidad no permitió establecer protocolo alguno.",Sí,"Muchas veces condicionaban las visitas de campo, base de nuestros servicios.",No,,2,Sí,6000,5,No,,"Incumplimiento de convenios, recursos asignados a una fecha y programados, llegaban 4 meses después.",Sí,No,5,Nuestra cartera de clientes era de más 700 núcleos productivos en la 3ra parte del estado de Michoacán.,Validar los protocolos ante SHCP por la propiedad de los bienes adquiridos por asignación.,Sí,,"Fondo Nacional Emprendedor, INADEM.",Preguntando en las dependencias responsables. S. de Economía en el Estado.,Sí,Sí,"Existen asesorías gratuitas en caso de no tener las competencias para el llenado, sin embargo no todos los emprendedores saben eso. No es difícil pero no se difunde.",No,,,,,,,,,,No,Sí,Sí,Por los compromisos de campaña de los delegados asignados en Michoacán. Se quedan con el 80% o más del total de los seleccionados. Sin importar la viabilidad o congruencia en inversión e impacto.,Sí,Porque en verdad cubren todas las posibilidades de avance. Muchas convocatorias cumplen con atender el 100% de las necesidades.,NO cumplen su reglamento.,No,No aplica,
8/18/2016 14:48:32,Sí,44,Masculino,Preparatoria,26,3,0, Comercio y servicios ,60,7,Jalisco,Nacional,Único dueño,tres millones o más,3,Si en negocio comercial,SÍ,Por autoridades,No,Autoridades,No,,1,Sí,,2,No,,Permiso de gobierno ,Sí,No,5,Por liquidación de empleados,Empleados,Sí,,Ninguno,No estoy enterada,No,Sí,Por que me han platicado conocidos,No,,,,,,,,,,Sí,No,No,La verdad no lo se ,No,Nunca lo busqué ,Transparencia ,No,No aplica,
8/18/2016 16:37:26,Sí,53,Masculino,Preparatoria,30,3,2,Comercio,4,3,Sinaloa,Nacional,Único dueño,medio a un millón,4,NO,No,,No,,No,,4,Sí,500.00,4,No,,"CAPITAL DE TRABAJO, PUBLICIDAD, TRASPORTE",No,No,2,PORQUE SON TRAMITES FACILES,Empleados,Sí,,Los que anuncian los bancos,Bancos y televisión,No,No,PIDEN MUCHOS REQUISITOS,No,,,,,,,,,,Sí,No,Sí,PORQUE SE LOS OFRECEN A GENTE QUE ESTA SOLVENTE ,Sí,SI ME AYUDARIAN A SALIR ADELANTE EN MI EMPRESA,QUE SEAN MENOS TRABAS PARA QUE SE FACILITEN LAS COSAS,No,No aplica,
